x23;x22;x17;x18;x15;x14;x25;x26;x19;x20;x21;x27;x28;x29;x30;x31;x07
7.5;75;14;0.7;68.58;6.1;29;0.1;5.8;20;0.2;0.7;1;0;0.8;0.6;45.72
7.5;75;17;0.5;68.58;6.1;26;0.5;5.5;20;0.4;0.6;1;0;0.6;1.1;45.72
7.5;75;16;0.5;68.58;6.1;30;0;5;16;0;1.1;1;0;1;0.8;45.72
7.5;75;18;0.5;68.58;6.1;32;0.5;5.1;13;0.2;1;1;0;1.1;1.1;45.72
7.5;75;14;0.5;68.58;6.1;30;0.1;5.1;12;0.2;0.7;1;0;0.6;1;45.72
7.5;75;14.93;0.5;68.58;6.1;31;0;4.8;17;0.1;1.1;1;0;1;0.7;45.72
7.5;75;14.53;0.9;68.58;6.1;32;0.3;5.3;19;0;0.8;1;0;0.8;0.7;45.72
4.5;45;14.13;0.9;99.06;6.86;27;0.4;0.6;20;0.5;0.9;1;0;1.1;0.9;36.58
4.5;45;13.73;1;99.06;6.86;31;0.4;1;14;0.2;0.8;1;0;0.7;0.9;36.58
4.5;45;13.33;0.8;99.06;6.86;28;0.5;1;15;0.1;1.1;1;0;1.1;0.6;36.58
4.5;45;12.93;1;99.06;6.86;30;0.5;0.6;14;0.2;0.7;1;0;0.8;0.7;36.58
4.5;45;12.53;1;99.06;6.86;31;0.3;1.1;14;0.1;1;1;0;0.9;1.1;36.58
4.5;45;25;0.7;99.06;6.86;31;0.5;0.6;17;0;0.7;1;0;0.7;1;36.58
7.5;75;20;0.9;83.82;6.86;32;0.1;0.8;17;0.1;0.9;1;0;0.7;0.9;45.72
7.5;75;20;0.5;83.82;6.86;25;0;1;14;0.5;0.9;1;0;1;0.7;45.72
7.5;75;21;0.9;83.82;6.86;32;0.4;0.9;16;0;1;1;0;1.1;1.1;45.72
7.5;75;21;0.8;83.82;6.86;27;0.1;1;11;0.5;0.8;1;0;0.7;0.9;45.72
11;110;21;0.9;83.82;6.86;32;0.2;0.6;13;0.5;1.1;1;1;0.6;0.8;45.72
11;110;23;0.7;83.82;6.86;32;0.4;1.1;19;0.2;0.7;1;1;1.1;1.1;54.86
11;110;19;0.5;68.58;6.86;28;0.5;0.7;17;0.3;0.8;1;1;0.7;1.1;54.86
11;110;14;0.5;68.58;6.86;32;0.3;0.8;15;0.1;0.6;1;1;0.6;0.6;54.86
11;110;17;0.7;68.58;6.86;26;0;0.9;13;0.5;0.6;1;1;0.9;0.6;54.86
5.5;55;16;0.6;68.58;6.86;27;0.2;1.1;15;0.2;0.6;1;1;1;0.6;54.86
5.5;55;18;1;68.58;6.86;30;0;1;16;0.2;0.6;1;1;0.6;0.7;36.58
5.5;55;14;0.6;68.58;6.86;30;0.3;0.6;16;0.1;0.7;1;1;0.7;0.6;36.58
5.5;55;14.93;0.6;68.58;6.86;32;0.5;0.6;12;0.5;0.6;1;1;1;0.6;36.58
5.5;55;14.53;0.8;68.58;8.38;26;0.2;0.7;18;0.1;1;1;1;1.1;1;36.58
7.5;75;14.13;0.6;68.58;8.38;26;0.1;1.1;10;0.2;1.1;1;0;0.8;0.6;36.58
7.5;75;13.73;0.6;68.58;8.38;32;0.5;0.9;18;0.4;1;1;0;0.7;0.7;45.72
7.5;75;13.33;0.8;68.58;8.38;25;0.5;0.6;11;0.3;1;1;0;1;1.1;45.72
7.5;75;12.93;1;68.58;8.38;31;0.1;0.6;16;0;1;1;0;0.7;1.1;45.72
7.5;75;12.53;0.6;68.58;8.38;26;0.2;0.6;10;0.4;0.8;1;0;0.6;1;45.72
7.5;75;19;0.7;68.58;8.38;29;0.5;0.8;20;0;1;1;0;0.6;0.9;45.72
