x23,x22,x08,x17,x18,x16,x15,x14,x10,x25,x26,x11,x19,x20,x21,x09,x27,x28,x29,x30,x31,x12,x07
3.50,35.00,0.60,21.00,0.70,13.00,83.82,6.86,80.00,30.00,0.50,0.10,1.10,13.00,0.30,0.60,0.60,1.00,0.00,0.70,1.00,0.70,45.72
3.50,35.00,0.80,21.00,0.90,13.00,83.82,6.86,95.00,26.00,0.50,0.30,0.90,15.00,0.10,0.60,0.70,1.00,0.00,1.00,0.70,0.80,45.72
3.50,35.00,0.60,23.00,0.70,10.00,83.82,6.86,104.00,30.00,0.30,0.30,0.90,13.00,0.30,0.50,0.90,1.00,0.00,1.10,1.10,0.90,45.72
2.50,25.00,0.50,19.00,0.70,13.00,76.20,8.38,80.00,30.00,0.50,0.50,0.60,18.00,0.00,0.60,0.80,1.00,1.00,1.10,0.70,1.10,54.86
2.50,25.00,0.50,14.00,1.00,8.00,76.20,8.38,100.00,26.00,0.20,0.30,0.60,15.00,0.50,0.50,0.90,1.00,1.00,0.70,0.70,0.80,54.86
2.50,25.00,0.90,17.00,0.50,14.00,76.20,8.38,92.00,32.00,0.30,0.40,0.80,13.00,0.00,0.50,1.00,1.00,1.00,0.80,0.70,0.90,54.86
2.50,25.00,0.60,16.00,0.70,9.00,76.20,8.38,102.00,30.00,0.00,0.50,0.90,10.00,0.00,0.60,0.90,1.00,1.00,1.10,0.60,0.90,54.86
4.50,45.00,0.70,18.00,0.90,13.00,83.82,6.86,75.00,30.00,0.00,0.10,0.80,18.00,0.20,0.40,1.10,1.00,0.00,1.00,0.70,0.80,45.72
4.50,45.00,0.70,14.00,0.90,13.00,83.82,6.86,101.00,31.00,0.20,0.30,0.90,11.00,0.30,0.60,0.90,1.00,0.00,1.10,0.80,1.00,45.72
4.50,45.00,0.90,14.93,1.00,9.00,83.82,6.86,77.00,29.00,0.00,0.20,0.90,14.00,0.40,0.50,1.00,1.00,0.00,1.00,1.00,1.10,45.72
4.50,45.00,0.70,14.53,0.70,11.00,83.82,6.86,90.00,28.00,0.00,0.00,0.60,14.00,0.40,0.50,1.00,1.00,0.00,1.10,1.00,0.80,45.72
4.50,45.00,0.90,14.13,0.90,14.00,83.82,6.86,79.00,28.00,0.00,0.00,0.90,12.00,0.30,0.60,0.60,1.00,0.00,0.90,0.70,0.90,45.72
4.50,45.00,0.90,13.73,1.00,15.00,83.82,6.86,103.00,28.00,0.10,0.30,0.80,20.00,0.10,0.40,0.60,1.00,0.00,0.70,0.80,0.80,45.72
4.50,45.00,0.70,13.33,0.90,10.00,83.82,6.86,78.00,28.00,0.50,0.30,0.70,12.00,0.50,0.50,0.90,1.00,0.00,1.10,0.70,1.10,45.72
4.50,45.00,0.70,12.93,0.60,15.00,83.82,6.86,82.00,29.00,0.10,0.10,0.70,14.00,0.40,0.50,0.80,1.00,0.00,0.70,0.90,0.60,45.72
3.50,35.00,0.70,12.53,0.60,13.00,53.34,9.91,76.00,31.00,0.00,0.30,5.80,11.00,0.40,0.40,0.90,1.00,1.00,1.00,1.10,0.90,54.86
3.50,35.00,0.80,19.00,0.80,11.00,53.34,9.91,104.00,27.00,0.20,0.20,5.70,16.00,0.00,0.60,1.10,1.00,1.00,0.60,0.90,0.80,54.86
3.50,35.00,0.60,14.00,0.90,12.00,53.34,9.91,93.00,27.00,0.00,0.10,4.70,20.00,0.30,0.60,0.90,1.00,1.00,0.60,0.80,1.00,54.86
6.50,65.00,0.70,17.00,0.60,14.00,83.82,6.86,86.00,28.00,0.30,0.40,0.90,13.00,0.20,0.60,0.90,1.00,0.00,0.80,1.10,1.10,45.72
6.50,65.00,0.80,16.00,1.00,14.00,83.82,6.86,78.00,25.00,0.40,0.40,0.90,16.00,0.20,0.50,1.10,1.00,0.00,0.60,0.80,0.60,45.72
6.50,65.00,0.70,18.00,1.00,9.00,83.82,6.86,77.00,29.00,0.00,0.50,1.00,14.00,0.00,0.60,1.00,1.00,0.00,0.90,0.70,0.70,45.72
6.50,65.00,0.80,14.00,0.90,11.00,83.82,6.86,105.00,28.00,0.00,0.30,0.80,13.00,0.10,0.50,0.80,1.00,0.00,0.60,0.90,0.90,45.72
6.50,65.00,0.60,14.93,0.60,12.00,83.82,6.86,101.00,29.00,0.40,0.50,0.80,20.00,0.10,0.40,0.70,1.00,0.00,1.10,1.00,0.80,45.72
6.50,65.00,0.70,14.53,1.00,11.00,83.82,6.86,92.00,27.00,0.10,0.00,0.90,16.00,0.40,0.50,0.60,1.00,0.00,1.00,0.60,0.90,45.72
6.50,65.00,0.80,19.00,1.00,14.00,83.82,6.86,94.00,28.00,0.40,0.50,0.80,11.00,0.00,0.60,0.60,1.00,0.00,0.60,0.80,0.60,45.72
4.50,45.00,0.90,14.00,0.70,9.00,68.58,8.38,88.00,25.00,0.50,0.40,0.70,10.00,0.20,0.50,1.00,1.00,1.00,1.00,0.90,0.70,54.86
4.50,45.00,0.80,17.00,1.00,11.00,68.58,8.38,87.00,31.00,0.30,0.20,0.80,13.00,0.50,0.60,0.60,1.00,1.00,0.70,0.90,0.90,54.86
4.50,45.00,0.50,16.00,0.80,14.00,68.58,8.38,76.00,30.00,0.30,0.10,0.80,13.00,0.20,0.50,0.80,1.00,1.00,0.60,0.60,0.80,54.86
4.50,45.00,0.50,18.00,0.80,12.00,68.58,8.38,77.00,32.00,0.40,0.10,1.00,15.00,0.00,0.50,0.70,1.00,1.00,0.60,1.10,0.60,54.86
7.50,75.00,0.60,14.00,1.00,9.00,68.58,8.38,88.00,25.00,0.00,0.20,0.90,12.00,0.00,0.40,0.60,1.00,1.00,0.60,0.60,1.10,54.86
7.50,75.00,0.50,14.93,0.80,9.00,68.58,8.38,88.00,28.00,0.30,0.20,0.70,16.00,0.50,0.50,1.00,1.00,1.00,1.10,0.80,0.90,45.72
7.50,75.00,0.60,14.53,0.90,9.00,83.82,6.86,103.00,31.00,0.50,0.20,1.10,19.00,0.10,0.40,0.60,1.00,1.00,0.60,1.10,1.10,45.72
7.50,75.00,0.70,14.13,0.70,15.00,83.82,6.86,77.00,29.00,0.30,0.10,0.60,18.00,0.50,0.60,1.10,1.00,0.00,0.70,0.70,1.00,45.72
7.50,75.00,0.70,13.73,0.50,13.00,83.82,6.86,104.00,32.00,0.00,0.50,1.10,18.00,0.30,0.50,0.80,1.00,0.00,0.60,0.60,0.60,45.72
9.00,90.00,0.70,13.33,0.60,8.00,53.34,8.38,100.00,27.00,0.50,0.40,0.90,18.00,0.20,0.40,1.10,1.00,0.00,0.70,0.70,0.80,45.72
9.00,90.00,0.80,12.93,0.70,12.00,53.34,8.38,97.00,26.00,0.00,0.50,0.60,19.00,0.50,0.60,1.00,1.00,1.00,1.10,0.90,0.60,45.72
9.00,90.00,0.90,12.53,0.90,13.00,53.34,8.38,93.00,26.00,0.20,0.20,0.70,17.00,0.30,0.60,1.00,1.00,1.00,0.90,0.90,1.00,45.72
9.00,90.00,0.60,19.00,0.80,8.00,53.34,8.38,92.00,26.00,0.30,0.10,0.80,12.00,0.40,0.50,0.70,1.00,1.00,0.70,1.00,1.00,45.72
7.50,75.00,0.70,14.00,0.70,14.00,68.58,6.10,91.00,29.00,0.10,0.00,5.80,20.00,0.20,0.50,0.70,1.00,0.00,0.80,0.60,0.90,45.72
7.50,75.00,0.80,17.00,0.50,13.00,68.58,6.10,85.00,26.00,0.50,0.00,5.50,20.00,0.40,0.60,0.60,1.00,0.00,0.60,1.10,1.00,45.72
7.50,75.00,0.90,16.00,0.50,8.00,68.58,6.10,86.00,30.00,0.00,0.10,5.00,16.00,0.00,0.60,1.10,1.00,0.00,1.00,0.80,0.80,45.72
7.50,75.00,0.50,18.00,0.50,9.00,68.58,6.10,98.00,32.00,0.50,0.40,5.10,13.00,0.20,0.50,1.00,1.00,0.00,1.10,1.10,1.10,45.72
7.50,75.00,0.70,14.00,0.50,11.00,68.58,6.10,96.00,30.00,0.10,0.40,5.10,12.00,0.20,0.50,0.70,1.00,0.00,0.60,1.00,0.80,45.72
7.50,75.00,0.90,14.93,0.50,10.00,68.58,6.10,98.00,31.00,0.00,0.50,4.80,17.00,0.10,0.60,1.10,1.00,0.00,1.00,0.70,0.70,45.72
7.50,75.00,0.60,14.53,0.90,9.00,68.58,6.10,77.00,32.00,0.30,0.40,5.30,19.00,0.00,0.40,0.80,1.00,0.00,0.80,0.70,0.60,45.72
4.50,45.00,0.60,14.13,0.90,10.00,99.06,6.86,78.00,27.00,0.40,0.20,0.60,20.00,0.50,0.60,0.90,1.00,0.00,1.10,0.90,0.60,36.58
4.50,45.00,0.90,13.73,1.00,13.00,99.06,6.86,93.00,31.00,0.40,0.30,1.00,14.00,0.20,0.50,0.80,1.00,0.00,0.70,0.90,1.00,36.58
4.50,45.00,0.70,13.33,0.80,15.00,99.06,6.86,78.00,28.00,0.50,0.40,1.00,15.00,0.10,0.60,1.10,1.00,0.00,1.10,0.60,0.70,36.58
4.50,45.00,0.90,12.93,1.00,13.00,99.06,6.86,81.00,30.00,0.50,0.00,0.60,14.00,0.20,0.40,0.70,1.00,0.00,0.80,0.70,0.80,36.58
4.50,45.00,0.80,12.53,1.00,10.00,99.06,6.86,81.00,31.00,0.30,0.20,1.10,14.00,0.10,0.50,1.00,1.00,0.00,0.90,1.10,0.70,36.58
4.50,45.00,0.70,25.00,0.70,8.00,99.06,6.86,76.00,31.00,0.50,0.20,0.60,17.00,0.00,0.40,0.70,1.00,0.00,0.70,1.00,0.80,36.58
7.50,75.00,0.70,20.00,0.90,13.00,83.82,6.86,83.00,32.00,0.10,0.30,0.80,17.00,0.10,0.40,0.90,1.00,0.00,0.70,0.90,0.80,45.72
7.50,75.00,0.70,20.00,0.50,9.00,83.82,6.86,93.00,25.00,0.00,0.50,1.00,14.00,0.50,0.40,0.90,1.00,0.00,1.00,0.70,0.70,45.72
7.50,75.00,0.50,21.00,0.90,8.00,83.82,6.86,78.00,32.00,0.40,0.50,0.90,16.00,0.00,0.60,1.00,1.00,0.00,1.10,1.10,0.80,45.72
7.50,75.00,0.80,21.00,0.80,8.00,83.82,6.86,82.00,27.00,0.10,0.50,1.00,11.00,0.50,0.40,0.80,1.00,0.00,0.70,0.90,0.90,45.72
11.00,110.00,0.50,21.00,0.90,10.00,83.82,6.86,85.00,32.00,0.20,0.30,0.60,13.00,0.50,0.60,1.10,1.00,1.00,0.60,0.80,0.60,45.72
11.00,110.00,0.70,23.00,0.70,15.00,83.82,6.86,87.00,32.00,0.40,0.30,1.10,19.00,0.20,0.50,0.70,1.00,1.00,1.10,1.10,0.80,54.86
11.00,110.00,0.50,19.00,0.50,9.00,68.58,6.86,104.00,28.00,0.50,0.40,0.70,17.00,0.30,0.50,0.80,1.00,1.00,0.70,1.10,0.60,54.86
11.00,110.00,0.70,14.00,0.50,13.00,68.58,6.86,84.00,32.00,0.30,0.30,0.80,15.00,0.10,0.40,0.60,1.00,1.00,0.60,0.60,0.90,54.86
11.00,110.00,0.90,17.00,0.70,11.00,68.58,6.86,101.00,26.00,0.00,0.20,0.90,13.00,0.50,0.60,0.60,1.00,1.00,0.90,0.60,0.60,54.86
5.50,55.00,0.60,16.00,0.60,11.00,68.58,6.86,91.00,27.00,0.20,0.00,1.10,15.00,0.20,0.60,0.60,1.00,1.00,1.00,0.60,0.90,54.86
5.50,55.00,0.80,18.00,1.00,8.00,68.58,6.86,79.00,30.00,0.00,0.20,1.00,16.00,0.20,0.40,0.60,1.00,1.00,0.60,0.70,0.90,36.58
5.50,55.00,0.90,14.00,0.60,12.00,68.58,6.86,97.00,30.00,0.30,0.20,0.60,16.00,0.10,0.60,0.70,1.00,1.00,0.70,0.60,0.70,36.58
5.50,55.00,0.90,14.93,0.60,15.00,68.58,6.86,90.00,32.00,0.50,0.20,0.60,12.00,0.50,0.60,0.60,1.00,1.00,1.00,0.60,1.00,36.58
5.50,55.00,0.70,14.53,0.80,10.00,68.58,8.38,97.00,26.00,0.20,0.40,0.70,18.00,0.10,0.40,1.00,1.00,1.00,1.10,1.00,1.10,36.58
7.50,75.00,0.50,14.13,0.60,14.00,68.58,8.38,104.00,26.00,0.10,0.30,1.10,10.00,0.20,0.40,1.10,1.00,0.00,0.80,0.60,1.00,36.58
7.50,75.00,0.90,13.73,0.60,10.00,68.58,8.38,102.00,32.00,0.50,0.10,0.90,18.00,0.40,0.60,1.00,1.00,0.00,0.70,0.70,0.70,45.72
7.50,75.00,0.50,13.33,0.80,8.00,68.58,8.38,101.00,25.00,0.50,0.20,0.60,11.00,0.30,0.40,1.00,1.00,0.00,1.00,1.10,0.60,45.72
7.50,75.00,0.60,12.93,1.00,13.00,68.58,8.38,81.00,31.00,0.10,0.40,0.60,16.00,0.00,0.60,1.00,1.00,0.00,0.70,1.10,0.70,45.72
7.50,75.00,0.80,12.53,0.60,12.00,68.58,8.38,78.00,26.00,0.20,0.10,0.60,10.00,0.40,0.60,0.80,1.00,0.00,0.60,1.00,0.80,45.72
7.50,75.00,0.70,19.00,0.70,15.00,68.58,8.38,82.00,29.00,0.50,0.00,0.80,20.00,0.00,0.50,1.00,1.00,0.00,0.60,0.90,0.60,45.72
